,User,ForumParticipation,ForumView,Assessment,Resource
0,124,1,13,0,14
1,1661,1,7,2,123
2,2155,0,16,11,418
3,2613,3,10,0,650
4,2614,0,0,0,1
5,30,1,20,0,26
6,3385,1,48,11,528
7,3386,1,14,13,616
8,3387,1,7,8,242
9,3388,0,5,15,268
10,3389,2,7,9,340
11,3390,1,24,12,379
12,3391,1,14,13,701
13,3392,0,3,15,356
14,3393,1,9,9,421
15,3394,1,14,8,285
16,3395,1,12,12,275
17,3396,1,10,8,427
18,3397,0,19,14,305
19,3398,2,2,8,143
20,3399,1,10,8,258
21,3400,1,3,8,170
22,3401,0,20,7,332
23,3402,2,39,7,461
24,3403,0,1,8,201
25,3404,0,7,7,386
26,3405,0,9,7,242
27,3406,1,11,8,349
28,3407,1,18,18,251
29,3409,1,7,13,263
30,3410,1,7,7,238
31,3411,1,8,18,391
32,3412,1,9,15,296
33,3413,1,10,19,333
34,3414,0,17,7,218
35,3415,0,2,13,303
36,3416,1,5,8,373
37,3417,0,13,7,383
38,3418,1,6,8,288
39,3419,0,18,9,398
40,3420,1,7,9,214
41,3421,0,15,11,372
42,3422,0,29,9,661
43,3423,0,24,10,307
44,3424,1,17,10,346
45,3425,1,30,11,437
46,3426,1,27,13,535
47,3427,1,25,11,279
48,3428,0,8,9,501
49,3429,1,15,11,266
50,3431,2,28,8,375
51,3433,1,6,18,239
52,3434,0,4,8,236
53,3435,1,13,16,321
54,3436,0,4,8,428
55,3437,1,10,8,320
56,3438,0,1,7,252
57,3439,1,24,13,378
58,3440,1,8,11,257
59,3441,1,16,7,282
60,3442,0,11,10,216
61,3443,1,5,8,362
62,3444,1,4,10,368
63,3446,1,16,8,259
64,3447,1,21,10,561
65,3448,0,2,8,227
66,3449,1,10,11,386
67,3450,1,20,10,406
68,3451,1,18,9,288
69,3453,0,12,12,459
70,3454,0,14,9,414
71,3455,1,4,10,240
72,3456,0,9,8,367
73,3457,0,6,10,241
74,3458,0,6,9,368
75,3459,1,15,8,281
76,3460,1,78,7,601
77,3461,1,10,8,547
78,3462,0,28,7,352
79,3463,1,15,6,425
80,3464,1,12,8,312
81,3465,1,11,8,337
82,3466,5,26,10,737
83,3467,1,5,11,281
84,3468,1,7,10,321
85,3469,2,17,10,380
86,3470,1,36,10,546
87,3471,3,13,12,419
88,3472,1,18,8,319
89,3473,1,16,8,328
90,3474,2,11,7,229
91,3475,1,47,10,377
92,3476,0,5,15,349
93,3477,0,7,7,344
94,3478,1,6,8,213
95,3479,1,41,8,805
96,3480,1,6,14,402
97,3481,0,6,16,456
98,3482,0,3,14,467
99,3483,0,14,7,370
100,3484,0,16,9,347
101,3485,0,3,13,553
102,3486,0,0,7,286
103,3487,0,2,10,186
104,3488,2,31,9,432
105,3489,1,14,10,483
106,3490,1,21,10,289
107,3491,0,2,7,313
108,3492,1,63,10,657
109,3493,0,2,8,249
110,3494,0,6,8,350
111,3495,1,29,14,400
112,3496,1,19,8,253
113,3497,1,7,7,268
114,3498,0,20,8,298
115,3499,0,12,9,368
116,3500,0,20,8,391
117,3501,0,7,8,302
118,3502,0,5,7,382
119,3503,0,3,8,168
120,3504,1,22,8,472
121,3506,0,0,12,397
122,3507,0,2,8,242
123,3508,1,22,10,315
124,3509,0,8,10,256
125,3510,1,6,13,256
126,3511,0,3,9,406
127,3512,0,6,7,336
128,3513,0,12,13,601
129,3514,0,2,8,356
130,3515,0,6,18,399
131,3516,1,23,10,363
132,3517,1,11,14,403
133,3518,1,13,7,284
134,3519,0,4,14,291
135,3520,1,12,10,344
136,3521,1,10,7,447
137,3522,1,52,9,523
138,3523,0,10,8,252
139,3525,0,13,7,223
140,3526,1,18,7,386
141,3527,0,5,7,249
142,3528,1,4,7,224
143,3529,1,19,7,240
144,3530,1,4,9,355
145,3531,1,13,8,421
146,3532,0,5,7,311
147,3533,0,9,7,255
148,3534,0,5,6,380
149,3535,1,68,7,692
150,3536,0,3,9,253
151,3537,0,11,10,392
152,3538,1,4,12,360
153,3539,0,14,14,659
154,3540,0,7,8,396
155,3541,1,7,11,331
156,3542,1,10,9,371
157,3543,1,17,7,220
158,3544,1,2,8,136
159,3545,1,18,9,366
160,3546,0,9,15,423
161,3547,1,34,8,318
162,3548,0,1,8,437
163,3549,0,9,14,381
164,3550,0,84,18,758
165,3551,0,6,14,408
166,3552,1,12,8,255
167,3553,1,5,8,350
168,3554,1,28,7,416
169,3555,0,6,8,318
170,3556,0,1,8,463
171,3557,0,11,13,418
172,3558,1,7,7,435
173,3559,0,6,9,310
174,3560,1,13,7,403
175,3561,1,23,12,432
176,3562,0,8,17,270
177,3563,1,16,9,292
178,3564,1,11,7,680
179,3565,1,20,14,385
180,3566,1,21,8,402
181,3567,1,6,10,216
182,3568,0,1,18,415
183,3569,0,9,8,328
184,3570,0,4,7,379
185,3572,1,8,7,263
186,3573,0,2,7,189
187,3574,2,36,10,332
188,3575,1,25,11,274
189,3576,0,1,8,376
190,3577,0,28,15,480
191,3578,1,37,10,544
192,3579,2,24,13,327
193,3580,0,1,8,288
194,3581,0,16,10,524
195,3582,1,11,8,508
196,3584,1,17,15,368
197,3585,0,0,8,241
198,3586,0,32,12,606
199,3587,1,6,8,304
200,3588,1,8,12,213
201,3589,2,10,8,376
202,3590,0,15,17,499
203,3591,0,2,7,303
204,3592,0,9,9,460
205,3593,0,5,9,244
206,3594,0,14,7,377
207,3595,0,8,11,267
208,3596,0,8,17,464
209,3597,0,6,3,120
210,3598,0,4,15,316
211,3599,1,18,10,325
212,3600,1,3,13,470
213,3601,1,17,19,485
214,3602,1,7,7,205
215,3603,1,22,8,271
216,3604,1,50,11,722
217,3605,0,4,10,274
218,3606,1,8,8,236
219,3607,0,7,12,218
220,3608,0,5,10,287
221,3610,0,5,9,297
222,3611,1,15,9,312
223,3612,1,43,8,407
224,3614,1,22,13,473
225,3615,0,41,7,577
