,User_id,Material_name,Module_id,Type,Status,Date
44,3391, Handout13 ,'42299'.,PDF,viewed,24/02/22
45,3391, Handout 14,'43550'.,PDF,viewed,24/02/22
62,3466, Handout 14,'43550'.,PDF,viewed,20/02/22
87,3648, Handout 7,'38179'.,PDF,viewed,19/02/22
94,3754, Handout 1,'33243'.,PDF,viewed,19/02/22
98,3754, Handout 1,'33243'.,PDF,viewed,19/02/22
120,3500, Handout 5 - Flowcharts,'37315'.,PDF,viewed,19/02/22
121,3500, Handout 5 - Flowcharts,'37315'.,PDF,viewed,19/02/22
136,3643, Handout 10 Modules,'39916'.,PDF,viewed,19/02/22
195,3741, Handout 1,'33243'.,PDF,viewed,18/02/22
252,3733, Handout 1,'33243'.,PDF,viewed,16/02/22
421,3582, Handout 7,'38179'.,PDF,viewed,14/02/22
422,3582, Handout 7,'38179'.,PDF,viewed,14/02/22
423,3582, Handout 7,'38179'.,PDF,viewed,14/02/22
430,3582, Handout 7,'38179'.,PDF,viewed,14/02/22
431,3582, Handout 7,'38179'.,PDF,viewed,14/02/22
432,3582, Handout 7,'38179'.,PDF,viewed,14/02/22
482,3724, Handout 7,'38179'.,PDF,viewed,14/02/22
487,3751, Handout 1,'33243'.,PDF,viewed,14/02/22
499,3522, Handout 1,'33243'.,PDF,viewed,13/02/22
500,3522, Handout 1,'33243'.,PDF,viewed,13/02/22
504,3897, Lecture 5,'37313',Video,completed,13/02/22
547,3755, Lab Materials ,'37338',Other,completed,12/02/22
548,3755, Lecture Materials ,'37336',Other,completed,12/02/22
626,3476, Handout4 PythonProgramming2,'35326',PDF,completed,12/02/22
627,3476, Handout4 PythonProgramming2,'35326'.,PDF,viewed,12/02/22
865,3757, Lab Materials ,'37338',Other,completed,9/02/22
866,3757, Lecture Materials ,'37336',Other,completed,9/02/22
972,3724, Handout 9,'39915'.,PDF,viewed,9/02/22
1019,3409, Handout 1,'33243'.,PDF,viewed,8/02/22
1048,30, Handout 1,'33243'.,PDF,viewed,8/02/22
1050,972, Handout 1,'33243'.,PDF,viewed,8/02/22
1052,3511, Handout 6,'38178'.,PDF,viewed,8/02/22
1053,3511, Handout 5 - Flowcharts,'37315'.,PDF,viewed,8/02/22
1083,3594, Handout 1,'33243'.,PDF,viewed,7/02/22
1084,3511, Handout 5 - Flowcharts,'37315'.,PDF,viewed,7/02/22
1104,3671, Lecture 14,'42279',Video,completed,7/02/22
1146,3511, Handout4 PythonProgramming2,'35326'.,PDF,viewed,7/02/22
1148,3511, Handout 3,'33245'.,PDF,viewed,7/02/22
1149,3511, Handout 2,'33244'.,PDF,viewed,7/02/22
1237,3428, Lecture 17,'44653',Video,completed,5/02/22
1238,3428, Handout 14,'43550',PDF,completed,5/02/22
1287,3759, Handout 1,'33243'.,PDF,viewed,2/02/22
1293,3745, Handout 1,'33243'.,PDF,viewed,2/02/22
1294,3745, Handout 2,'33244'.,PDF,viewed,2/02/22
1295,3745, Handout 1,'33243'.,PDF,viewed,2/02/22
1303,3554, Handout 14,'43550'.,PDF,viewed,2/02/22
1304,3438, Handout 1,'33243'.,PDF,viewed,2/02/22
1308,3608, Handout 9,'39915'.,PDF,viewed,2/02/22
1310,3802, Handout 14,'43550'.,PDF,viewed,2/02/22
