,Material_name,Count
0, Handout 1,1418
1, Handout 10 Modules,849
2, Handout 11 ,901
3, Handout 12,814
4, Handout 14,722
5, Handout 2,1447
6, Handout 3,1910
7, Handout 5 - Flowcharts,1035
8, Handout 6,887
9, Handout 7,1209
10, Handout 8 - Functions,681
11, Handout 9,803
12, Handout13 ,1566
13, Handout4 PythonProgramming2,2098
14, Lecture 1,289
15, Lecture 14,130
16, Lecture 15,129
17, Lecture 16,93
18, Lecture 17,80
19, Lecture 2,269
20, Lecture 3,221
21, Lecture 4,228
22, Lecture 5,176
23, Lecture 6 ,152
24, Lecture 7,155
25, Lecture 8,152
