,pca1,pca2,pca3,clusters,User
0,0.531174916,-0.033996373,0.100823955,1,124
1,0.418482044,-0.05648244,0.04880186,1,1661
2,-0.082171247,0.011286605,-0.027397861,2,2155
3,0.471373493,0.152652588,-0.155209791,1,2613
4,0.534557777,-0.143737053,0.045056861,1,2614
5,0.527731214,0.015836904,0.113061593,1,30
6,-0.101474148,0.273244971,0.030639819,0,3385
7,-0.203146686,0.058531498,-0.083301272,2,3386
8,0.095915825,-0.058658956,0.038929905,1,3387
9,-0.270331584,-0.123865735,0.047884648,0,3388
10,0.036245693,-0.018813337,0.028320142,1,3389
11,-0.130401528,0.068420435,0.048368233,0,3390
12,-0.211818182,0.080901301,-0.124127852,2,3391
13,-0.278674993,-0.114042177,0.000473876,2,3392
14,0.025282847,-0.003797388,-0.034021937,1,3393
15,0.089309577,-0.00066728,0.03627785,1,3394
16,-0.115986856,-0.038964283,0.067461227,0,3395
17,0.076091358,0.010031914,-0.042213062,1,3396
18,-0.22680753,-0.015195543,0.058234983,0,3397
19,0.109666199,-0.098415692,0.102202732,1,3398
20,0.093332333,-0.034444518,0.038959784,1,3399
21,0.104529373,-0.104279031,0.063225911,1,3400
22,0.132284736,0.037654657,-0.007327965,1,3401
23,0.117230693,0.237567766,0.036732625,1,3402
24,0.099935687,-0.129093325,0.014612957,1,3403
25,0.130897697,-0.034816429,-0.066696004,1,3404
26,0.144954092,-0.05937774,0.007612278,1,3405
27,0.083731661,-0.003827786,-0.002177044,1,3406
28,-0.425866978,-0.0387674,0.141703751,0,3407
29,-0.164914981,-0.081044166,0.068247719,0,3409
30,0.148061583,-0.054129279,0.03297028,1,3410
31,-0.436978741,-0.068601857,0.048743702,2,3411
32,-0.272391077,-0.070188398,0.073302407,0,3412
33,-0.483433548,-0.076112564,0.089625968,0,3413
34,0.144865953,-0.012350849,0.039712801,1,3414
35,-0.169475615,-0.123493544,0.00759707,2,3415
36,0.08318566,-0.03751891,-0.029134312,1,3416
37,0.129301329,0.004401351,-0.049825303,1,3417
38,0.091540086,-0.053220829,0.014263894,1,3418
39,0.022710339,0.030523636,-0.028410105,1,3419
40,0.047034631,-0.071610206,0.060259537,0,3420
41,-0.077161367,-0.00748729,-0.007875104,2,3421
42,-0.007608062,0.173085162,-0.126444445,2,3422
43,-0.021646167,0.040999718,0.03860899,0,3423
44,-0.021340082,0.024225248,0.030455409,0,3424
45,-0.086483283,0.129274213,0.028058984,0,3425
46,-0.199005172,0.123896882,-0.01096479,2,3426
47,-0.068779151,0.054353277,0.091090254,0,3427
48,0.015373228,-0.009048264,-0.103598585,2,3428
49,-0.064282221,-0.015746826,0.071618047,0,3429
50,0.077754291,0.136005693,0.057632494,1,3431
51,-0.420837925,-0.121940097,0.116607977,0,3433
52,0.095413861,-0.099878578,0.005516895,1,3434
53,-0.327947485,-0.042519882,0.079461974,0,3435
54,0.075826481,-0.04934914,-0.086703143,1,3436
55,0.087007242,-0.01812772,0.009180397,1,3437
56,0.146470477,-0.110089069,-0.017763866,1,3438
57,-0.182037198,0.062574888,0.056729422,0,3439
